" and "," y "
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento™ es una marca registrada de Irubin Consultoría Inc. DBA Varien. <br/> Copyright © Irubin %s Consultoría Inc."
"Field Mapping","Mapeo de campos"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"major","mayor"
"md5sum","md5sum"
"minor","menor"
"Merge Now","Merge Now"
"Prev. month (hold for menu)","Mes Anterior (espere por menú)"
"Min","Min"
"Thumbnail","Miniatura"
"Edit Role","Modificar Rol"
"Edit User '%s'","Modificar Usuario '%s'"
"Passive mode","Modo pasivo"
"Module version conflict!","Module version conflict!"
"Display %s first","Mostrar %s primero"
"Show by","Mostrar por"
"Show Report for","Mostrar Reportes para"
"MS Excel XML","MS Excel XML"
"N/A","N/A"
"Number of records:","Número de registros:"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Card Verification Number","Número de Verificación de Tarjeta"
"Level","Nivel"
"No","No"
"No search keywords.","No hay palabras clave de búsqueda."
"No Data Found","No se han encontrado datos"
"Unable to login.","No se puede ingresar."
"SKU","No. Ref. (SKU)"
"SKU:","No. Ref. (SKU):"
"Name","Nombre"
"File name:","Nombre de archivo:"
"Attribute Set Name:","Nombre de atributo establecido:"
"Spreadsheet Name:","Nombre de hoja de cálculo:"
"User Name","Nombre de Usuario"
"User name","Nombre de usuario"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"Name:","Nombre:"
"First Name:","Nombre:"
"Note:","Nota:"
"Notes:","Notas"
"Get help for this page","Obtenga ayuda para esta página"
"or","or"
"Sort Order","Ordenar Pedido"
"Country:","País:"
"Package","Paquete"
"Bundle Items","Paquete de artículos"
"Package Information","Paquete de Información"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete de precios dinámicos no pueden incluir opciones personalizadas definidas. Las Opciones no se guardarán."
"Packages","Paquetes"
"For latest version visit: %s","Para la versión más reciente, visite: %s"
"Help Us Keep Magento Healthy - Report All Bugs","Participa con Magento - Reporta todas las fallas"
"Path:","Path:"
"PayPal Email","PayPal E-mail"
"Page","Página"
"Previous page","Página anterior"
"Next page","Página Siguiente"
"Please, select a store view","Please, select a store view"
"Please select an option.","Por favor seleccione una opción."
"Please make sure that your changes were saved before running the profile.","Por favor, asegúrese de que los cambios se hayan guardado antes de ejecutar el perfil."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coincidan."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme el cambio del sitio. Todos los datos que no se hayan guardado se perderá."
"Please select State/Province.","Por favor, elija Estado/Provincia."
"Please select one of the above options.","Por favor, elija una de las opciones mencionadas."
"Please select one of the options.","Por favor, elija una de las opciones."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, en este campo use sólo letras (az) y números (0-9) o los espacios y #."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, en este campo use sólo letras (az) y números (0-9). Espacios ni otros caracteres están permitidos."
"Please wait, loading...","Por favor, espere, cargando ..."
"Please enter 6 or more characters.","Por favor, introduzca 6 o más caracteres."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, introduzca su dirección de correo electrónico válida. Por ejemplo juanpenas@domain.mx."
"Please enter a valid zip code.","Por favor, introduzca un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, introduzca un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, introduzca un número de seguro social válido. Por ejemplo 123-45-6789."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válida."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 o 123-456-7890."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número superior a 0 en este campo."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid value from list","Por favor, introduzca un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor, introduzca un valor válido, por ejemplo: 10,20,30"
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad en $ válida. Por ejemplo: $1000.00."
"Please enter valid password.","Por favor, introduzca una contraseña válida."
"Please enter a valid date.","Por favor, introduzca una fecha válida."
"Please enter a valid URL. http:// is required","Por favor, introduzca una URL válida. http:// es requerido"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, introduzca una URL válida. Por ejemplo http://www.example.com o www.example.com"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de fecha: dd/mm/aaaa. Por ejemplo 17/03/2006 para el 17 de marzo de 2006."
"Please use letters only (a-z) in this field.","Por favor, use sólo letras (az) en este campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use sólo los números en este campo. Evitar espacios u otros caracteres, tales como puntos o comas."
"per page","por página"
"Price","Precio"
"Price:","Precio"
"Final Price","Precio Final"
"Custom","Preferencias"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Producto"
"Products","Productos"
"Available Products","Productos Disponibles"
"Track this shipment","Rastrear este envío"
"Track order","Rastrear pedido"
"Recommended","Recomendada"
"Resources","Recursos"
"Roles Resources","Recursos para Roles"
"Remove","Remove"
"Summary:","Resumen"
"Role","Rol"
"Role Users","Rol de Usuarios"
"Roles","Roles"
"User Roles","Roles del Usuario"
"Yes","Sí"
"Only mapped fields","Sólo campos mapeados"
"Schedule Merge","Schedule Merge"
"Magento Core Api Section","Sección del API núcleo de Magento"
"Select date","Seleccionar fecha"
"Select Date","Seleccionar Fecha"
"Select Range","Seleccionar rango"
"Select All","Seleccionar todo"
"Select Visible","Seleccionar visible"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Date selector","Selector de Fecha"
"Decimal separator:","Separador decimal:"
"Web Services","Servicios Web"
"Local Server","Servidor local"
"Provided Files","Siempre y Archivos"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Store: ","Store: "
"Your Account has been deactivated.","Su cuenta ha sido desactivada."
"Subpackage","Subpaquete"
"Subpackages","Subpaquetes"
"Switch/Solo Only","Switch/Solo Únicamente"
"Switch/Solo card issue number: %s","Switch/Solo el número de tarjeta: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo Fecha de inicio de tarjeta: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(Reino Unido Doméstica) Únicamente"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(Reino Unido Doméstica) código de seguridad de tarjeta: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(Reino Unido Doméstica) Fecha de inicio de tarjeta: %s/%s"
"Old rate:","Tasa Vieja:"
"Phone:","Teléfono:"
"Time selection:","Tiempo de selección:"
"Store:","Tienda"
"You have","Tienes"
"Type","Tipo"
"Address Type:","Tipo de dirección:"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Type: %s","Tipo de Tarjeta: %s"
"Type:","Tipo:"
"All","Todo"
"All fields","Todos los campos"
"All Websites","Todos los sitios web"
"Total %d records found","Total de registros encontrados %d"
"Invoice Totals","Totales de Factura"
"Order Totals","Totales de Pedido"
"Data transfer:","Transferencia de datos:"
"Remote URL:","URL Remota:"
"User","Usuario"
"Users","Usuarios"
"Use Default Value","Utilizar Valor Predeterminado"
"Default Values","Valores Predeterminados"
"Default (Admin) Values","Valores Predeterminados (Admin)"
"Client Session timeout (sec.)","Vencimiento de Sesión de Cliente en (seg.)"
"View","Ver"
"View Statistics for","Ver Estadísticas para"
"Version:","Versión:"
"Visibility:","Visibilidad"
"Email Preview","Vista previa de Email"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
