" and "," y "
"Coupons","Cupones"
"Date","Date"
"Date & Time","Date & Time"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Dato POST inválido (revisar la configuración de post_max_size y upload_max_filesize en su archivo php.ini)"
"Date Added","Datos añadidos"
"Invalid input data for %s => %s rate","Datos de entrada no válidos para %s => %s tarifa"
"Day","Día"
"of %s pages","de %s páginas"
"Shipping method must be specified","Debe de especificarse un método de envío"
"Leave empty to use tax identifier","Dejar vacío para usar identificador de impuestos"
"In","Dentro"
"In Database:","Dentro de la base de datos:"
"Dependencies","Dependencias"
"Download and Install","Descarga e Instala"
"Downloading and installing $pkg, please wait...","Descargando e instalando $pkg, por favor espere..."
"Download Remote File","Descargar archivo remoto"
"Unknown","Desconocido"
"Description","Descripción"
"Description:","Descripción:"
"From","Desde"
"from","desde"
"Uninstalling $pkg, please wait...","Desinstalando $pkg, por favor espere..."
"Uninstalling selected packages, please wait...","Desinstalando los paquetes seleccionados, por favor espere..."
"Uninstall","Desinstalar"
"Drop-down","Desplegabel hacia abajo (Drop-down)"
"DHTML Date/Time Selector","DHTML Selector de Fecha/Hora"
"Recursive Dir","Dir Recursivo"
"Email Address:","Dirección de Email:"
"Billing address","Dirección de facturación"
"Billing Address","Dirección de Facturación"
"Profile Direction","Dirección del perfil"
"IP Address","Dirección IP"
"Primary Billing Address","Dirección primaria de facturación"
"Direction:","Dirección:"
"Shipping address","Direcciones de envío"
"Shipping Address","Direcciones de envío"
"Invalid directory: %s","Directorio inválido: %s"
"Sorry, this feature is coming soon...","Disculpe, esta característica estará disponible pronto..."
"Design","Diseño"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo GNU LGPL. Ver %s para más detalles."
"Currency","Divisa"
"Base currency","Divisa base"
"Selected base currency is not available in installed currencies","Divisa base seleccionada no está disponible en las divisas instaladas"
"Selected default display currency is not available in installed currencies","Divisa predeterminada a mostrar seleccionada no está disponible en las divisas instaladas"
"Selected default display currency is not available in allowed currencies","Divisa predeterminada a mostrar seleccionada no está disponible en las divisas permitidas"
"Selected allow currency ""%s"" is not available in installed currencies","Divisa Seleccionada permitida ""%s"" no está disponible en las divisas instaladas"
"Finished profile execution.","Ejecución de perfiles terminado."
"Running... Kill","Ejecutando... Aniquilar"
"Running:","Ejecutando:"
"Run","Ejecutar"
"Run in popup","Ejecutar en pop up"
"Run Profile","Ejecutar perfil"
"Run Profile Inside This Window","Ejecutar perfil dentro de esta ventana"
"Run Profile In Popup","Ejecutar perfil en popup"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","ejemplo: ""sitemap/"" o ""/"" para la ruta principal (el directorio debe tener permisos de escritura)"
"example: sitemap.xml","ejemplo: sitemap.xml"
"File size should be more than 0 bytes","El archivo debería de ser de más de 0 bytes"
"The archive can be uncompressed with <a href=""%s"">%s</a> on Windows systems","El archivo puede ser descomprimido con <a href=""%s"">%s</a> en Sistema Windows"
"Last Month","El último mes"
"Image cache was cleared successfully","El cache de la imagen fue borrado exitosamente"
"Comment text field can not be empty.","El campo para comentarios no puede dejarse vacío."
"Customer was deleted","El cliente fue eliminado"
"Customer was successfully saved","El cliente fue guardado satisfactoriamente"
" The customer doesn't exist in the system anymore","El cliente ha dejado de existir en el sistema"
"Attribute set was successfully removed.","El conjunto de atributos fue removido exitosamente."
"Order confirmation email sent","El Email de confirmación del pedido fue enviado"
"Shipping method selection is not applicable","El método de envío seleccionado no es aplicable"
"Payment method must be specified","El método de pago debe ser especificado"
"Credit Memo #%s created","El memo #%s del crédito fue creado"
"Credit Memo was successfully canceled.","El memorándum de crédito fue cancelado exitosamente."
"Credit Memo was successfully created","El memorándum de crédito fue creado exitosamente"
"Credit Memo was successfully voided","El memorándum de crédito fue vaciado exitosamente"
"Credit Memo total must be positive.","El memorándum de crédito total debe ser positivo."
"Tracking number can not be empty.","El número de guía no puede quedar vacío."
"Order not longer exist","El pedido ya no existe"
"Order not longer exist.","El pedido ya no existe."
"Profile was deleted","El perfil fue eliminado"
"Profile was successfully saved","El perfil fue guardado satisfactoriamente"
"Layered Navigation process queued to be killed","El progreso de cola en las capas de navegación esta aniquilado"
"Backup record was deleted","El registro de respaldo fue eliminado exitosamente"
"Invalid Import Service Specified","El servicio de importación seleccionado es inválido"
"Subpackage can't be conflicting","El Sub paquete no puede ser conflictivo"
"Total of %d record(s) were successfully updated","El total %d de registros fueron actualizados satisfactoriamente"
"User was successfully deleted","EL usuario fue eliminado satisfactoriamente"
"User was successfully saved","El usuario fue guardado satisfactoriamente"
"Delete","Eliminar"
"Delete %s","Eliminar %s"
"Delete %s '%s'","Eliminar %s '%s'"
"Delete Profile","Eliminar Perfil"
"Delete Template","Eliminar Plantilla"
"Delete Role","Eliminar Rol"
"Delete Website","Eliminar sitio web"
"Delete User","Eliminar usuario"
"Delete Store View","Eliminar vista de tienda"
"Email","Email"
"Email to a Friend","Email a un amigo"
"PayPal Email","Email de Paypal"
"User Email","Email del usuario"
"Separate email","Email separado"
"Email:","Email:"
"Issuer: %s","Emisor: %s"
"In File:","En archivo:"
"Links","Enlaces"
"Invalid input:","Entrada inválida:"
"Shipment was successfully created.","Envío fue creado exitosamente."
"Shipment was successfully sent.","Envío fue enviado exitosamente."
"Shipping","Envíos"
"Shipment #%s created","Envíos #%s Creados"
"Submit","Enviar"
"Credit Memo cancel error.","Error al cancelar el memorándum de crédito."
"Error uploading the file","Error al subir el archivo"
"Invoice cancel error.","Error de factura cancelada."
"Invoice capture error","Error de factura capturada"
"Invoice void error","Error de factura vacía"
"Credit Memo void error","Error de memorándum de crédito vacío"
"Upload Security Error","Error de seguridad al subir"
"Unknown error","Error desconocido"
"Upload HTTP Error","Error HTTP al subir"
"Upload I/O Error","Error I/O al subir"
"Error while updating selected review(s). Please try again later.","Error mientras se actualizaba las reseñas seleccionadas. Por favor intente mas tarde."
"Error while cleared Image cache. Please try again later","Error mientras se borraba el cache de Imagen. Inténtelo más tarde por favor"
"Error while saving this configuration: ","Error mientras se guardaba esta configuración:"
"Error while saving this role. Please try again later.","Error mientras se guardaba este rol. Por favor intente mas tarde."
"Error while saving account. Please try again later","Error mientras se guardaba la cuenta. Por favor intente mas tarde"
"Error while refreshed Catalog Rewrites. Please try again later","Error mientras se renovaba el Catálogo Rewrites. Inténtelo más tarde por favor"
"Error while refreshed Layered Navigation Indices. Please try again later","Error mientras se renovaban los Indices de Navegación por Capas. Inténtelo de nievo más tarde"
"Error while finished process. Please refresh cache","Error mientras se terminaba el proceso. Renueve el cache por favor"
"SSL Error: Invalid or self-signed certificate","Error SSL: Certificado inválido o no firmado"
"Error while saving account. Please check all required fields","Error while saving account. Please check all required fields"
"Specific Countries","Especificar países"
"Please specify admin custom URL","Especifique URL del administrador personalizado"
"This account is","Esta cuenta es"
"This tab contains invalid data. Please solve the problem before saving.","Esta pestaña contiene información inválida. Por favor resuelva el problema antes de guardar"
"This section is not allowed.","Esta sección no está permitida."
"Are you sure you want to do this?","Esta seguro que desea hacer esto?"
"Stability","Estabilidad"
"API Stability","Estabilidad de la API"
"Release Stability","Estabilidad de la liberación"
"Preferred state","Estado preferido"
"State/Province:","Estado/Provincia:"
"Region/State","Estado/Región"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","Estamos en nuestra máquina de escribir, inventando más código para funcionalidades nuevas de Magento. Gracias por su paciencia."
"Status","Estatus"
"Account status","Estatus de la cuenta"
"Inventory Stock Status","Estatus de las existencias en el Inventario"
"Status:","Estatus:"
"This attribute shares the same value in all the stores","Este atributo comparte el mismo valor en todas las tiendas"
"This attribute set don't have attributes which we can use for configurable product","Este conjunto de atributos no tiene los atributos que pueden ser usados para un producto configurable"
"This is a required field.","Este es un campo requerido."
"This user no longer exists","Este usuario ha dejado de existir"
"New Tag","Etiqueta Nueva"
"Tags","Etiquetas"
"Pending Tags","Etiquetas pendientes"
"Excl. Tax","Excl. Impuestos"
"Exclude","Excluir"
"Exclude (comma separated)","Excluir (separado por comas)"
"User with the same User Name or Email aleady exists","Existe un usuario con el mismo nombre o con el mismo Email"
"Export","Exportar"
"Export to:","Exportar a:"
"Export CSV","Exportar CSV"
"Export Filters","Exportar Filtros"
"Export:","Exportar:"
"Matched expression","Expresiones similares"
"Extension","Extensión"
"New Extension","Extensión Nueva"
"Extensions","Extensiones"
"Package Extensions","Extensiones del paquete"
"Invoice and shipment was successfully created.","Factura y envío fueron creados exitosamente."
"Failed to add a product to cart by id ""%s""","Falla al añadir un producto al carrito por id ""%s"""
"Failed to load %1$s.xml or %1$s.ser","Falla al cargar %1$s.xml o %1$s.ser"
"Date Updated","Fecha actualizada"
"Expiration Date","Fecha de Expiración"
"Start Date","Fecha de inicio"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Date:","Fecha:"
"Fixed","Fijado"
"Finished items creation.","Finished items creation."
"Flat Catalog Category rebuild error","Flat Catalog Category rebuild error"
"Flat Catalog Category was rebuilt successfully","Flat Catalog Category was rebuilt successfully"
"Flat Catalog Product rebuild error. Please try again later","Flat Catalog Product rebuild error. Please try again later"
"Flat Catalog Product was rebuilt successfully","Flat Catalog Product was rebuilt successfully"
"Wrong column format","Formato de columna erróneo"
"Data Format","Formato de datos"
"Remote FTP","FTP remoto"
"Gb","Gb"
"Cache Management","Gestión de Cache"
"Manage Ratings","Gestión de calificaciónes"
"Manage Customers","Gestión de clientes"
"Manage Installed Extensions","Gestión de extensiones instalados"
"Manage osCommerce Orders","Gestión de Pedidos en osCommerce"
"Manage osCommerce Profiles","Gestión de Perfiles en osCommerce"
"Manage Currency Rates","Gestión de tasas de cambio"
"Manage Stores","Gestión de tiendas"
"Poll Manager","Gestor de encuestas"
"Url Rewrite Management","Gestor de Rewrite Url"
"Google Base","Google Base"
"Grand Total","Gran Total"
"Customer Group:","Grupo de clientes:"
"Group:","Grupo:"
"Save","Guardar"
"Save As...","Guardar como..."
"Save Config","Guardar configuración"
"Save PEAR Config","Guardar configuración PEAR"
"Save Account","Guardar cuenta"
"Save cache settings","Guardar las Configuraciones del cache"
"Save data and Create Package","Guardar los datos y crear el paquete"
"Save package with custom package file name","Guardar paquete con nombre de archivo del paquete"
"Save Profile","Guardar Perfil"
"Save Template","Guardar Plantilla"
"Save Role","Guardar Rol"
"Save Currency Rates","Guardar Tarifas de Moneda"
"Save User","Guardar usuario"
"Save and Continue Editing","Guardar y continuar editando"
"Save And Continue Edit","Guardar y continuar editando"
"Save & Generate","Guardar y Generar"
"Enabled","Habilitado"
"Enable","Habilitar"
"Done by:","Hecho por:"
"Done By:","Hecho por:"
"Tools","Herramientas"
"Shipment History","Historia de Envíos"
"Profile History","Historia del perfil"
"Comments History","Historial de comentarios"
"Invoice History","Historial de facturas"
"Credit Memo History","Historial del memos de crédito"
"Time:","Hora:"
"FTP Host[:Port]","Host FTP[:Puerto]"
"HTTP (unsecure)","HTTP (inseguro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Error while create backup. Please try again later","Hubo un error mientras se creaba el respaldo. Por favor intente despues"
"Error while deleting this role. Please try again later.","Hubo un error mientras se eliminaba esta Rol. Por favor intente después."
"Error while deleting this set.","Hubo un error mientras se eliminaba este conjunto."
"ID","ID"
"User ID","ID de usuario"
"Ignore","Ignorar"
"Big Image","Imagen grande"
"Parent Product Thumbnail","Imagen miniatura de producto raíz"
"Images","Imagenes"
"Images (.gif, .jpg, .png)","Imageness (.gif, .jpg, .png)"
"images/logo.gif","images/logo.gif"
"Import","Importar"
"Import Service","Importar Servicio"
"Import/Export","Importar/Exportar"
"Import/Export Advanced","Importar/Exportar Avanzado"
"Import/Export Profile","Importar/Exportar Perfil"
"Average Order Amount","Importe promedio de pedidos"
"Unable to initialize import model","Imposible de inicializar el modelo de importación"
"Unable to find a user to delete","Imposible encontrar un usuario para eliminar"
"Tax","Impuesto"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Include","Incluido"
"Account Information","Información de la cuenta"
"Installed Extension Info","Información de la extensión instalado"
"Remote Extension Info","Información de la extensión remota"
"Release Info","información de la liberación"
"Template Information","Información de la plantilla"
"Role Information","Información de la Rol"
"Role Info","Información de la Rol"
"Current Release Information","Información de la versión actual"
"User Roles Information","Información de las roles del usuario"
"Currency Information","Información de Moneda"
"File Information","Información del archivo"
"Sitemap Information","Información del mapa del sitio"
"Package Information","Información del paquete"
"Package Info","Información del paquete"
"Profile Information","Información del perfil"
"User Info","Información del usuario"
"User Information","Información del usuario"
"General Information","Información General"
"Personal Information","Información Personal"
"Revenue","Ingresos"
"Disabled","Inhabilitado"
"Disable","Inhabilitar"
"Logged in as %s","Iniciada la sesión como %s"
"Home","Inicio"
"Pending installation...","Instalación pendiente..."
"Installed As","Instalado como"
"Installing $pkg, please wait...","Instalando $pkg, por favor espere..."
"Installing selected packages, please wait...","Instalando los paquetes seleccionados, por favor espere..."
"Install","Instalar"
"Install Package File","Instalar paquete de archivo"
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz local: %s"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Invalid Secret Key. Please refresh the page.","Invalid Secret Key. Please refresh the page."
"Guest","Invitado"
"Go Today","Ir Hoy"
"Items to merge","Items to merge"
"Kb","Kb"
"Layered Navigation Indices was refreshed successfully","L Índice de Navegación por Capas fue renovado satisfactoriamente"
"Price alert subscription was saved successfully","La  suscripción de alertas de precio fue guardado exitosamente"
"Rating was successfully deleted","La calificación fue eliminada satisfactoriamente"
"Rating was successfully saved","La calificación fue guardada exitosamente"
"Layered Navigation indexing queued","La cola de indexación en las capas de navegación"
"Layered Navigation indexing queue cancelled","La cola de indexación en las capas de navegación se ha cancelado"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","La configuración de su servidor PHP no le permite subir más de %s archivos a la vez. Modifique post_max_size (actualmente es %s) y upload_max_filesize (actualmente es %s) valores en php.ini Su Usted quiere subir archivos más grandes."
"PEAR Configuration was successfully saved","La Configuración PEAR fue satisfactoriamente guardada"
"Email address is empty.","La Dirección de correo está vacía."
"Shipping address selection is not applicable","La dirección de envío seleccionada no es aplicable"
"Poll was successfully deleted","La encuesta fue eliminada satisfactoriamente"
"Poll was successfully saved","La encuesta fue guardada exitosamente"
"Tag was successfully deleted","La etiqueta fue eliminada satisfactoriamente"
"Tag was successfully saved","La etiqueta fue guardada exitosamente"
"Invoice #%s created","La factura #%s  fue creada"
"Invoice was successfully canceled.","La factura fue cancelada exitosamente."
"Invoice was successfully captured","La factura fue capturada exitosamente"
"Invoice was successfully created.","La factura fue creada exitosamente."
"Invoice was successfully voided","La factura fue vaciada exitosamente"
"The information in this tab has been changed.","La información en esta pentalla ha sido cambiada."
"Stock notification was saved successfully","La notificación de existencias fue guardada satisfactoriamente"
"Last 24 hours","Las últimas 24 horas"
"Read details","Leer detalles"
"Release","Liberación"
"License","Licencia"
"License URI","Licencia URI"
"License:","Licencia:"
"List (default) / Grid","Lista (predeterminada) / Rejilla"
"List only","Lista solamente"
"Locale","Local"
"Magento Logo","Logo de Magento"
"Top 5 Search Terms","Los 5 más buscados"
"Layered Navigation Indices were refreshed successfully","Los Índices de Navegación por Capas fueron renovados satisfactoriamente"
"Last 5 Orders","Los últimos 5 pedidos"
"Last 5 Search Terms","Los últimos 5 términos de Búsqueda "
"Last 7 days","Los últimos 7 días"
"Package %s data was successfully loaded","Los datos del paquete %s fueron cargados satisfactoriamente"
"Bestsellers","Los mas vendidos"
"Magento Commerce - Administrative Panel","Magento Commerce - Panel Administrativo"
"Magento Connect","Magento Connect"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubing Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento versión. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; es una marca registrada de Irubing Consulting Inc. DBA Varien <br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Mantenedores"
"Mapping Configuration","Mapping Configuration"
"MAJOR","MAYOR"
"major","mayor"
"Max","Máx"
"Maximum","Máximo"
"Min","Mín"
"Minimum","Mínimo"
